COLOR WI,COLOR YI,ODOR LVL,VOLATILE,Antiblock Type,,AO2 Type,,AO1,AO2/AO1 Ratio,Acid Scavenger,Slip Agent,Gels Performance,,,,
,,,,,,,,,,,,FE-S,FE-M,FE-L,Defect Area,Judgement
,,,,Silton,AB-GASIL,IRG-168,W399,Ir-1076,,ZNST,errucamide,,,,,
54.270,-4.860,2.000,0.008,0.000,0.186,0.095,0.000,0.050,1.900,0.050,0.100,1.200,0.100,0.000,0.440,Low Gel
54.640,-5.040,2.000,0.007,0.000,0.182,0.101,0.000,0.049,2.061,0.049,0.116,2.100,0.400,0.000,1.130,Non Low Gel
53.930,-4.800,2.000,0.007,0.000,0.181,0.098,0.000,0.050,1.960,0.050,0.120,1.700,0.200,0.000,0.720,Low Gel
55.190,-5.270,2.000,0.019,0.000,0.176,0.095,0.000,0.049,1.939,0.049,0.109,1.500,0.400,0.000,0.870,Non Low Gel
53.550,-5.120,2.000,0.013,0.000,0.197,0.094,0.000,0.049,1.918,0.049,0.114,1.300,0.200,0.000,0.720,Low Gel
55.150,-4.740,2.000,0.007,0.000,0.182,0.095,0.000,0.050,1.900,0.050,0.109,0.900,0.200,0.000,0.470,Low Gel
53.740,-5.100,2.000,0.027,0.000,0.181,0.096,0.000,0.050,1.920,0.050,0.106,1.500,0.200,0.000,0.660,Low Gel
55.290,-4.520,2.000,0.017,0.000,0.180,0.093,0.000,0.049,1.898,0.049,0.120,1.400,0.200,0.000,0.620,Low Gel
53.070,-5.340,2.000,0.029,0.000,0.180,0.091,0.000,0.049,1.857,0.049,0.128,2.100,0.300,0.000,0.870,Low Gel
54.690,-4.660,2.000,0.010,0.000,0.183,0.097,0.000,0.048,2.021,0.048,0.111,3.400,0.700,0.000,1.930,Non Low Gel
53.550,-5.120,2.000,0.013,0.000,0.197,0.094,0.000,0.049,1.918,0.049,0.114,1.300,0.200,0.000,0.720,Low Gel
